experiment_tag,w1_ful_cls,w2_ful_cls,w3_ful_cls,w4_ful_cls,w5_ful_cls,w6_ful_cls,w7_ful_cls,w8_ful_cls,w9_ful_cls,w10_ful_cls,w11_ful_cls,w12_ful_cls
66ALB,1,1,1,1,1,1,1,0,1,1,1,1
66DDD,1,1,0,1,1,1,1,1,1,1,1,1
67ABG,1,1,1,1,1,1,1,1,1,1,1,1
67EEE,0,1,1,1,1,1,1,0,1,1,1,1
68AZK,1,0,0,0,1,0,0,0,0,0,0,0
68FFF,0,1,1,0,1,0,0,0,0,0,0,0
69AUU,1,0,1,1,1,1,1,1,1,1,1,1
69GGG,1,1,1,1,0,0,0,0,0,0,0,0
70ALM,0,0,0,0,0,0,0,0,0,0,0,0
70HHH,1,1,1,1,1,1,1,0,1,1,1,0
